goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   19222	     64005 ns/op	     30310 gas/op	       473.5 mgas/s	    5849 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   19430	     63546 ns/op	     30310 gas/op	       476.9 mgas/s	    5850 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   19504	     62813 ns/op	     30310 gas/op	       482.5 mgas/s	    5850 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   19246	     62774 ns/op	     30310 gas/op	       482.8 mgas/s	    5850 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   18684	     62434 ns/op	     30310 gas/op	       485.5 mgas/s	    5850 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-4        	   78532	     14108 ns/op	      5580 gas/op	       395.5 mgas/s	    5178 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-4        	   81956	     14538 ns/op	      5580 gas/op	       383.8 mgas/s	    5178 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-4        	   82053	     14958 ns/op	      5580 gas/op	       373.0 mgas/s	    5178 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-4        	   87696	     13553 ns/op	      5580 gas/op	       411.7 mgas/s	    5178 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-4        	   83535	     13926 ns/op	      5580 gas/op	       400.7 mgas/s	    5178 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-4        	   86400	     14388 ns/op	      5580 gas/op	       387.8 mgas/s	    5178 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-4        	   86577	     13956 ns/op	      5580 gas/op	       399.8 mgas/s	    5178 B/op	      25 allocs/op
